101,John Bartram High School,ALL GRADES,100%,,,
102,West Philadelphia High School,ALL GRADES,100%,,,
103,High School of the Future,ALL GRADES,100%,,,
105,Paul Robeson High School for Human Services,ALL GRADES,100%,,,
110,William L. Sayre High School,ALL GRADES,100%,,,
113,William T. Tilden School,ALL GRADES,100%,,,
119,Motivation High School,ALL GRADES,100%,,,
120,John Barry School,ALL GRADES,100%,,,
123,William C. Bryant School,ALL GRADES,100%,,,
125,Joseph W. Catharine School,ALL GRADES,100%,,,
126,Benjamin B. Comegys School,ALL GRADES,100%,,,
128,Sadie Alexander School,ALL GRADES,39%,,,
129,Andrew Hamilton School,ALL GRADES,100%,,,
130,Avery D. Harrington School,ALL GRADES,100%,,,
133,Samuel B. Huey School,ALL GRADES,100%,,,
134,Henry C. Lea School,ALL GRADES,100%,,,
135,William C. Longstreth School,ALL GRADES,100%,,,
136,Morton McMichael School,ALL GRADES,100%,,,
137,S. Weir Mitchell School,ALL GRADES,100%,,,
138,Thomas G. Morton School,ALL GRADES,100%,,,
139,Samuel Powel School,ALL GRADES,87%,,,
140,John M. Patterson School,ALL GRADES,100%,,,
141,James Rhoads School,ALL GRADES,100%,,,
142,Martha Washington School,ALL GRADES,100%,,,
144,Penrose School,ALL GRADES,100%,,,
146,Add B. Anderson School,ALL GRADES,100%,,,
147,Alain Locke School,ALL GRADES,100%,,,
149,Rudolph Blankenburg School,ALL GRADES,100%,,,
158,Middle Years Alternative School,ALL GRADES,100%,,,
200,South Philadelphia High School,ALL GRADES,100%,,,
201,Benjamin Franklin High School,ALL GRADES,100%,,,
202,High School for Creative and Performing Arts School,ALL GRADES,67%,,,
214,Julia R. Masterman School,ALL GRADES,39%,,,
216,Furness High School,ALL GRADES,100%,,,
219,D. Newlin Fell School,ALL GRADES,100%,,,
221,Bache-Martin School,ALL GRADES,90%,,,
224,F. Amedee Bregy School,ALL GRADES,100%,,,
226,George W. Childs School,ALL GRADES,100%,,,
229,Franklin Learning Center,ALL GRADES,90%,,,
232,Stephen Girard School,ALL GRADES,100%,,,
234,General George A. McCall School,ALL GRADES,81%,,,
237,Delaplaine McDaniel School,ALL GRADES,100%,,,
238,William M. Meredith School,ALL GRADES,28%,,,
239,Robert Morris School,ALL GRADES,100%,,,
241,Girard Academic Music Program,ALL GRADES,50%,,,
245,Edwin M. Stanton School,ALL GRADES,100%,,,
247,Albert M. Greenfield School,ALL GRADES,28%,,,
248,Chester A. Arthur School,ALL GRADES,100%,,,
249,Laura W. Waring School,ALL GRADES,100%,,,
251,Andrew Jackson School,ALL GRADES,100%,,,
252,Abram S. Jenks School,ALL GRADES,95%,,,
254,Francis S. Key School,ALL GRADES,100%,,,
258,Eliza B. Kirkbride School,ALL GRADES,92%,,,
259,George W. Nebinger School,ALL GRADES,100%,,,
262,Academy at Palumbo,ALL GRADES,89%,,,
263,George W. Sharswood School,ALL GRADES,100%,,,
264,Southwark School,ALL GRADES,100%,,,
265,Science Leadership Academy,ALL GRADES,44%,,,
267,Constitution High School,ALL GRADES,98%,,,
268,The Science Leadership Academy at Beeber,ALL GRADES,68%,,,
269,John H. Taggart School,ALL GRADES,100%,,,
272,Vare-Washington School,ALL GRADES,100%,,,
402,Overbrook High School,ALL GRADES,100%,,,
403,High School of Engineering and Science,ALL GRADES,70%,,,
406,Murrell Dobbins Career and Technical High School,ALL GRADES,100%,,,
410,Dimner Beeber School,ALL GRADES,100%,,,
414,Strawberry Mansion High School,ALL GRADES,100%,,,
422,James G. Blaine School,ALL GRADES,100%,,,
424,Lewis C. Cassidy Academics Plus School,ALL GRADES,100%,,,
427,William Dick School,ALL GRADES,100%,,,
428,Samuel Gompers School,ALL GRADES,100%,,,
430,Edward Heston School,ALL GRADES,100%,,,
432,Robert E. Lamberton School,ALL GRADES,100%,,,
435,E. Washington Rhodes School,ALL GRADES,100%,,,
437,Overbrook School,ALL GRADES,100%,,,
438,Thomas M. Peirce School,ALL GRADES,100%,,,
444,Dr. Ethel Allen School,ALL GRADES,100%,,,
446,Tanner G. Duckrey School,ALL GRADES,100%,,,
447,Richard R. Wright School,ALL GRADES,100%,,,
448,Overbrook Educational Center,ALL GRADES,85%,,,
453,Edward Gideon School,ALL GRADES,100%,,,
456,William D. Kelley School,ALL GRADES,100%,,,
457,General George G. Meade School,ALL GRADES,100%,,,
502,Thomas A. Edison High School,ALL GRADES,100%,,,
505,Philadelphia Military Academy,ALL GRADES,100%,,,
506,Jules E. Mastbaum Area Vocational Technical High School,ALL GRADES,100%,,,
507,Parkway Northwest High School,ALL GRADES,90%,,,
508,Parkway Center City High School,ALL GRADES,100%,,,
509,Parkway West High School,ALL GRADES,100%,,,
515,William W. Bodine High School,ALL GRADES,94%,,,
516,Penn Treaty High School,ALL GRADES,100%,,,
517,Julia de Burgos School,ALL GRADES,100%,,,
520,Alexander Adaire School,ALL GRADES,100%,,,
521,Henry A. Brown School,ALL GRADES,100%,,,
523,Russell H. Conwell School,ALL GRADES,100%,,,
525,Paul L. Dunbar School,ALL GRADES,100%,,,
526,Lewis Elkin School,ALL GRADES,100%,,,
530,Horatio B. Hackett School,ALL GRADES,100%,,,
532,John F. Hartranft School,ALL GRADES,100%,,,
533,William H. Hunter School,ALL GRADES,100%,,,
534,James R. Ludlow School,ALL GRADES,100%,,,
535,William McKinley School,ALL GRADES,100%,,,
537,John Moffet School,ALL GRADES,100%,,,
539,Potter-Thomas School,ALL GRADES,100%,,,
540,Richmond School,ALL GRADES,100%,,,
541,Isaac A. Sheppard School,ALL GRADES,100%,,,
542,John Welsh School,ALL GRADES,100%,,,
543,Alternative Middle Years at James Martin,ALL GRADES,100%,,,
544,Frances E. Willard School,ALL GRADES,100%,,,
547,William Cramp School,ALL GRADES,100%,,,
548,General Philip Kearny School,ALL GRADES,100%,,,
549,Cayuga School,ALL GRADES,100%,,,
550,Thurgood Marshall School,ALL GRADES,100%,,,
551,"Kensington International Business, Finance, and Entrepreneurship High School",ALL GRADES,100%,,,
552,Kensington High School for Creative and Performing Arts,ALL GRADES,100%,,,
553,Philip H. Sheridan School,ALL GRADES,100%,,,
555,Kensington Health Sciences Academy,ALL GRADES,100%,,,
556,Spring Garden School,ALL GRADES,100%,,,
559,John H. Webster School,ALL GRADES,100%,,,
560,Kensington Urban Education Academy,ALL GRADES,100%,,,
561,Building 21,ALL GRADES,100%,,,
562,The U School,ALL GRADES,100%,,,
566,The LINC,ALL GRADES,100%,,,
568,Honorable Luis Munoz-Marin School,ALL GRADES,100%,,,
601,Central High School,ALL GRADES,63%,,,
603,Roxborough High School,ALL GRADES,100%,,,
604,Walter B. Saul High School,ALL GRADES,88%,,,
605,Philadelphia High School for Girls,ALL GRADES,91%,,,
606,Martin Luther King High School,ALL GRADES,100%,,,
609,A. Philip Randolph Career and Technical High School,ALL GRADES,100%,,,
610,Morris E. Leeds School,ALL GRADES,100%,,,
620,Anna B. Day School,ALL GRADES,100%,,,
621,Franklin S. Edmonds School,ALL GRADES,100%,,,
622,Eleanor C. Emlen School,ALL GRADES,100%,,,
623,Fitler Academics Plus School,ALL GRADES,100%,,,
625,Charles W. Henry School,ALL GRADES,75%,,,
626,Henry H. Houston School,ALL GRADES,100%,,,
627,Jenks Academy for Arts and Sciences,ALL GRADES,54%,,,
630,James Logan School,ALL GRADES,100%,,,
631,John F. McCloskey School,ALL GRADES,89%,,,
632,Thomas Mifflin School,ALL GRADES,100%,,,
634,Joseph Pennell School,ALL GRADES,100%,,,
635,Samuel Pennypacker School,ALL GRADES,100%,,,
636,Theodore Roosevelt School,ALL GRADES,100%,,,
638,Shawmont School,ALL GRADES,69%,,,
639,Edward T. Steel School,ALL GRADES,100%,,,
640,Widener Memorial School,ALL GRADES,100%,,,
641,Cook-Wissahickon School,ALL GRADES,77%,,,
643,John Wister School,ALL GRADES,100%,,,
644,Anna L. Lingelbach School,ALL GRADES,99%,,,
645,James Dobson School,ALL GRADES,76%,,,
646,Hill-Freedman World Academy,ALL GRADES,76%,,,
647,John B. Kelly School,ALL GRADES,100%,,,
648,Academy for the Middle Years at Northwest,ALL GRADES,95%,,,
654,Lankenau High School,ALL GRADES,84%,,,
701,Frankford High School,ALL GRADES,100%,,,
710,Jay Cooke School,ALL GRADES,100%,,,
711,Warren G. Harding School,ALL GRADES,100%,,,
712,Samuel Fels High School,ALL GRADES,100%,,,
713,General Louis Wagner School,ALL GRADES,100%,,,
715,Juniata Park Academy,ALL GRADES,100%,,,
720,Clara Barton School,ALL GRADES,100%,,,
722,Laura H. Carnell School,ALL GRADES,100%,,,
726,Ellwood School,ALL GRADES,100%,,,
727,Thomas K. Finletter School,ALL GRADES,100%,,,
728,Benjamin Franklin School,ALL GRADES,100%,,,
729,Allen M. Stearne School,ALL GRADES,100%,,,
730,Francis Hopkinson School,ALL GRADES,100%,,,
731,Feltonville Intermediate School,ALL GRADES,100%,,,
732,Julia W. Howe School,ALL GRADES,100%,,,
733,Henry W. Lawton School,ALL GRADES,100%,,,
735,James R. Lowell School,ALL GRADES,100%,,,
736,John Marshall School,ALL GRADES,100%,,,
737,"Grover Washington, Jr. School",ALL GRADES,100%,,,
738,Alexander K. McClure School,ALL GRADES,100%,,,
739,Andrew J. Morrison School,ALL GRADES,100%,,,
740,Olney School,ALL GRADES,100%,,,
743,James J. Sullivan School,ALL GRADES,100%,,,
744,Bayard Taylor School,ALL GRADES,100%,,,
746,William H. Ziegler School,ALL GRADES,100%,,,
747,Bridesburg School,ALL GRADES,90%,,,
749,Prince Hall School,ALL GRADES,100%,,,
750,Feltonville School of Arts and Sciences,ALL GRADES,100%,,,
751,Mary M. Bethune School,ALL GRADES,100%,,,
753,William Rowen School,ALL GRADES,100%,,,
773,Roberto Clemente School,ALL GRADES,100%,,,
801,Abraham Lincoln High School,ALL GRADES,100%,,,
802,Northeast High School,ALL GRADES,90%,,,
803,George Washington High School,ALL GRADES,85%,,,
804,Arts Academy at Benjamin Rush,ALL GRADES,55%,,,
809,Swenson Arts and Technology High School,ALL GRADES,85%,,,
812,Woodrow Wilson School,ALL GRADES,100%,,,
814,Austin Meehan School,ALL GRADES,100%,,,
816,Baldi School,ALL GRADES,70%,,,
818,John Hancock Demonstration School,ALL GRADES,69%,,,
820,Ethan Allen School,ALL GRADES,100%,,,
821,Joseph H. Brown School,ALL GRADES,100%,,,
823,Kennedy C. Crossan School,ALL GRADES,90%,,,
824,Hamilton Disston School,ALL GRADES,100%,,,
825,Edwin Forrest School,ALL GRADES,100%,,,
826,Fox Chase School,ALL GRADES,74%,,,
827,Thomas Holme School,ALL GRADES,100%,,,
830,Mayfair School,ALL GRADES,91%,,,
831,J. Hampton Moore School,ALL GRADES,100%,,,
832,General J. Harry LaBrum School,ALL GRADES,82%,,,
834,Solomon Solis-Cohen School,ALL GRADES,100%,,,
835,Gilbert Spruance School,ALL GRADES,100%,,,
836,Rhawnhurst School,ALL GRADES,97%,,,
837,Watson Comly School,ALL GRADES,66%,,,
838,Louis H. Farrell School,ALL GRADES,95%,,,
839,A.L. Fitzpatrick School,ALL GRADES,78%,,,
840,Anne Frank School,ALL GRADES,77%,,,
841,Robert B. Pollock School,ALL GRADES,83%,,,
842,Stephen Decatur School,ALL GRADES,66%,,,
843,Joseph Greenberg School,ALL GRADES,37%,,,
844,William H. Loesche School,ALL GRADES,82%,,,
856,The Workshop School,ALL GRADES,100%,,,
878,Philadelphia Virtual Academy,ALL GRADES,100%,,,
,,,,,,